Start (s),End (s),Scientific name,Common name,Confidence,File
39,42,Spinus pinus,Pine Siskin,0.9184,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230716_082900.wav
0,3,Spinus pinus,Pine Siskin,0.918,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230805_113500.wav
51,54,Spinus pinus,Pine Siskin,0.917,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230716_100900.wav
45,48,Spinus pinus,Pine Siskin,0.9165,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230716_090900.wav
3,6,Spinus pinus,Pine Siskin,0.9161,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230826_083500.wav
6,9,Calcarius lapponicus,Lapland Longspur,0.9158,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230825_085900.wav
15,18,Spinus pinus,Pine Siskin,0.9152,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230719_071800.wav
6,9,Calcarius lapponicus,Lapland Longspur,0.9142,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230829_130500.wav
51,54,Spinus pinus,Pine Siskin,0.9135,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230831_063400.wav
54,57,Spinus pinus,Pine Siskin,0.9131,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230730_071500.wav
48,51,Fulica atra,Eurasian Coot,0.913,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230905_132700.wav
9,12,Spinus pinus,Pine Siskin,0.9129,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230728_144700.wav
27,30,Progne subis,Purple Martin,0.9118,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230720_102000.wav
6,9,Spinus pinus,Pine Siskin,0.9116,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230719_102800.wav
18,21,Spinus pinus,Pine Siskin,0.9106,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230716_102400.wav
42,45,Spinus pinus,Pine Siskin,0.9105,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230831_063400.wav
18,21,Spinus pinus,Pine Siskin,0.9088,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230728_144700.wav
15,18,Lagopus leucura,White-tailed Ptarmigan,0.9085,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230801_052300.wav
21,24,Sitta canadensis,Red-breasted Nuthatch,0.9071,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230731_063100.wav
21,24,Leucosticte tephrocotis,Gray-crowned Rosy-Finch,0.9054,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230720_124500.wav
51,54,Anthus rubescens,American Pipit,0.9051,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230901_131100.wav
54,57,Spinus pinus,Pine Siskin,0.9048,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230830_101700.wav
24,27,Spinus pinus,Pine Siskin,0.9045,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230805_075000.wav
24,27,Spinus pinus,Pine Siskin,0.9044,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230722_091300.wav
27,30,Spinus pinus,Pine Siskin,0.9041,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230830_073200.wav
24,27,Spinus pinus,Pine Siskin,0.9026,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230812_082600.wav
24,27,Spinus pinus,Pine Siskin,0.9023,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230802_094000.wav
24,27,Spinus pinus,Pine Siskin,0.902,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230719_071800.wav
9,12,Leucosticte tephrocotis,Gray-crowned Rosy-Finch,0.9018,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230729_103800.wav
30,33,Spinus pinus,Pine Siskin,0.9008,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230805_075000.wav
48,51,Spinus pinus,Pine Siskin,0.9001,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230818_085200.wav
12,15,Spinus pinus,Pine Siskin,0.8995,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230720_082500.wav
36,39,Anthus rubescens,American Pipit,0.899,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230825_080900.wav
21,24,Spinus pinus,Pine Siskin,0.8987,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230814_081000.wav
15,18,Corvus corax,Common Raven,0.8974,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230831_091400.wav
42,45,Coccothraustes vespertinus,Evening Grosbeak,0.8972,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230801_055300.wav
21,24,Spinus pinus,Pine Siskin,0.8962,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230717_060100.wav
36,39,Spinus pinus,Pine Siskin,0.895,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230802_062500.wav
57,60,Spinus pinus,Pine Siskin,0.8949,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230805_064500.wav
42,45,Spinus pinus,Pine Siskin,0.8939,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230820_104500.wav
27,30,Turdus philomelos,Song Thrush,0.8937,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230731_060100.wav
27,30,Spinus pinus,Pine Siskin,0.8934,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230719_071800.wav
45,48,Myioborus pictus,Painted Redstart,0.8931,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230829_085500.wav
3,6,Calcarius lapponicus,Lapland Longspur,0.893,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230825_085900.wav
54,57,Estrilda astrild,Common Waxbill,0.8928,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230720_212500.wav
33,36,Spinus pinus,Pine Siskin,0.8927,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230720_091500.wav
57,60,Anthus rubescens,American Pipit,0.8912,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230901_131100.wav
54,57,Leucosticte australis,Brown-capped Rosy-Finch,0.8906,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230713_211100.wav
12,15,Anthus rubescens,American Pipit,0.8903,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230825_090400.wav
33,36,Spinus pinus,Pine Siskin,0.889,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230716_100900.wav
18,21,Anthus rubescens,American Pipit,0.889,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230820_085000.wav
3,6,Anthus rubescens,American Pipit,0.8884,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230821_204200.wav
18,21,Spinus pinus,Pine Siskin,0.888,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230806_085600.wav
27,30,Leucosticte australis,Brown-capped Rosy-Finch,0.8876,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230716_204400.wav
45,48,Sitta canadensis,Red-breasted Nuthatch,0.8871,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230728_064700.wav
6,9,Anthus rubescens,American Pipit,0.887,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230816_070800.wav
18,21,Spinus pinus,Pine Siskin,0.8868,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230831_072400.wav
54,57,Spinus pinus,Pine Siskin,0.8864,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230827_110700.wav
21,24,Engine,Engine,0.8863,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230813_134300.wav
33,36,Spinus pinus,Pine Siskin,0.8853,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230723_092400.wav
3,6,Spinus pinus,Pine Siskin,0.8849,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230715_113800.wav
51,54,Leucosticte tephrocotis,Gray-crowned Rosy-Finch,0.8847,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230825_143400.wav
57,60,Sitta canadensis,Red-breasted Nuthatch,0.8843,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230731_062100.wav
45,48,Estrilda astrild,Common Waxbill,0.8831,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230720_212500.wav
36,39,Spinus pinus,Pine Siskin,0.8816,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230716_090900.wav
51,54,Sitta canadensis,Red-breasted Nuthatch,0.8816,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230831_071900.wav
45,48,Vanellus vanellus,Northern Lapwing,0.8808,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230828_083400.wav
3,6,Spinus pinus,Pine Siskin,0.8798,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230717_102100.wav
15,18,Empidonax wrightii,Gray Flycatcher,0.8795,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230827_111200.wav
36,39,Anthus rubescens,American Pipit,0.878,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230830_125700.wav
27,30,Anthus rubescens,American Pipit,0.878,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230901_075100.wav
39,42,Spinus pinus,Pine Siskin,0.877,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230813_083300.wav
42,45,Coccothraustes vespertinus,Evening Grosbeak,0.8763,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230901_071100.wav
24,27,Vanellus vanellus,Northern Lapwing,0.8754,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230803_080600.wav
30,33,Spinus pinus,Pine Siskin,0.874,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230829_081500.wav
18,21,Spinus pinus,Pine Siskin,0.8734,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230719_071800.wav
39,42,Turdus philomelos,Song Thrush,0.8733,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230723_091900.wav
3,6,Spinus pinus,Pine Siskin,0.8727,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230801_064300.wav
18,21,Spinus pinus,Pine Siskin,0.872,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230717_060100.wav
9,12,Spinus pinus,Pine Siskin,0.8714,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230716_093900.wav
6,9,Leucosticte tephrocotis,Gray-crowned Rosy-Finch,0.8712,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230729_103800.wav
39,42,Leucosticte tephrocotis,Gray-crowned Rosy-Finch,0.8708,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230818_150700.wav
36,39,Myioborus pictus,Painted Redstart,0.8699,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230901_091100.wav
9,12,Spizelloides arborea,American Tree Sparrow,0.8696,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230730_112500.wav
51,54,Spizelloides arborea,American Tree Sparrow,0.869,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230804_100800.wav
39,42,Strix aluco,Tawny Owl,0.8689,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230715_090800.wav
21,24,Gun,Gun,0.8685,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230713_170100.wav
18,21,Spinus pinus,Pine Siskin,0.8683,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230803_193600.wav
30,33,Leucosticte tephrocotis,Gray-crowned Rosy-Finch,0.8675,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230730_101000.wav
